id,revenue
3001,28263590.34981371
3002,7286748.546863762
3003,28983295.074290782
3004,23729467.505629398
3005,4483524.949498481
3006,34718203.74196757
3007,7083384.592136899
3008,68113177.93585667
3009,43834083.800086334
3010,375481778.77835566
3011,1882787.0718574754
3012,2517147.120601809
3013,42819790.56462972
3014,3738143.784224968
3015,40820669.46079977
3016,2714298.1697352757
3017,81688224.80805296
3018,213581321.72822586
3019,28964496.29612064
3020,904809297.4014355
3021,70130701.83619955
3022,72438425.56893428
3023,2425008.5231908383
3024,48705278.26960676
3025,2143119.69048197
3026,89087668.63716169
3027,9738657.147867942
3028,102215780.70085861
3029,3144241.828632855
3030,62750659.01364571
3031,28744457.892702516
3032,16976935.32693963
3033,3382191.7745610517
3034,1692663.7104836425
3035,9775034.153832255
3036,23868529.259508684
3037,89793498.75889872
3038,68114214.59258677
3039,31212722.893321957
3040,16835278.917018753
3041,26223312.097735576
3042,7425986.628791738
3043,16001781.916394925
3044,9630220.782329412
3045,360849795.05878097
3046,6736012.619247624
3047,38879085.62721541
3048,41654888.381311096
3049,41222893.63071962
3050,61194201.76707557
3051,3231953.7065960467
3052,57146359.84128909
3053,1366653.5686921512
3054,7849592.017792266
3055,62332237.297808416
3056,6870335.654304088
3057,139514364.6400194
3058,657977627.0425605
3059,8545650.012260392
3060,97923555.7984378
3061,66881195.52818234
3062,60540794.76242727
3063,64060133.981429584
3064,124366882.95818105
3065,42025994.12859534
3066,124226175.05626489
3067,6646118.166763774
3068,63236960.506070815
3069,301288260.6107449
3070,5136472.0819241665
3071,20733669.9120403
3072,807150932.8424277
3073,4973053.99713854
3074,2842277.400317726
3075,54959422.24724052
3076,249917027.61967167
3077,45030936.167651035
3078,96376168.1275704
3079,62109479.62134223
3080,108704512.2374721
3081,41376833.32012099
3082,38686671.7051056
3083,11007095.496657498
3084,2243231.8342700275
3085,19789238.000130918
3086,76183937.00764212
3087,2617858.7289964454
3088,2562329.3262071363
3089,2552604.500243092
3090,43493346.61525278
3091,38365393.702138476
3092,26378073.257663306
3093,265505239.74338806
3094,115902845.9085867
3095,56718587.85548875
3096,2929781.7992135184
3097,954962736.6280972
3098,33535800.46731045
3099,56584295.2890635
3100,20117849.154951822
3101,27726287.694130052
3102,9537960.37731152
3103,4466295.522782421
3104,9207189.566369178
3105,74696750.45829172
3106,80031490.02219167
3107,37129161.89867884
3108,24149814.92635065
3109,38292204.83942399
3110,445150101.84957695
3111,6573044.205839322
3112,3737563.3230326856
3113,21468464.99256063
3114,49609187.03834693
3115,38478534.90710436
3116,11944281.208238779
3117,2933282.248954362
3118,7033429.790998642
3119,282718145.9707021
3120,296328883.8159457
3121,4325241.514127556
3122,28389123.29580978
3123,25980615.199057702
3124,8416913.594212558
3125,2587285.7263612533
3126,50879846.72589638
3127,19026458.897867836
3128,42567820.32288457
3129,171907101.2789654
3130,17743569.350729663
3131,8904011.61954788
3132,12555734.380154528
3133,10069176.42200597
3134,24520320.86760167
3135,6364028.651664725
3136,8237585.997523848
3137,164221771.1462522
3138,2007979.0547388503
3139,46740791.80197313
3140,79672318.49456447
3141,14013789.587946806
3142,11281198.714529281
3143,170241383.19461033
3144,16681357.428740911
3145,42716186.78279937
3146,6814237.815789939
3147,28769142.714006267
3148,7779410.799082095
3149,87114805.23928928
3150,87428928.70294628
3151,24325227.92788753
3152,29127354.025948394
3153,18842920.686049666
3154,17744771.417597756
3155,37946983.24663395
3156,14172461.18406416
3157,29863303.337391954
3158,115273906.62342738
3159,30654362.01926467
3160,23741948.228056952
3161,2471937.714787573
3162,23244121.240436908
3163,60323812.537790924
3164,14370690.30313196
3165,2687730.5408171327
3166,1635064.4948923143
3167,63998384.82501065
3168,3999180.5592708476
3169,106883219.29779728
3170,20989413.58638824
3171,51568838.985888794
3172,42797495.252998084
3173,2072721.5714040652
3174,4387349.650632574
3175,16139474.420347657
3176,34584252.13598245
3177,85987938.49765286
3178,8541742.945297385
3179,18521421.37631392
3180,17414770.29714445
3181,4430101.127258672
3182,342574988.14214724
3183,34054154.607428454
3184,47335837.14378449
3185,82770847.2720538
3186,53980151.02451415
3187,27841455.1224485
3188,32044896.800198022
3189,104715511.61622038
3190,36457892.45218981
3191,26077967.29589449
3192,19342737.552332886
3193,242080396.6551549
3194,96901889.60883652
3195,4517361.47555027
3196,13717644.924439678
3197,38163904.32012707
3198,100394930.48757172
3199,370190329.8202171
3200,16344285.861123437
3201,25302779.76275347
3202,12217150.189504141
3203,3849752.845879491
3204,9259173.88146847
3205,7798022.5259646345
3206,33886422.54994825
3207,45561443.566867664
3208,22835158.915113464
3209,9909157.527050378
3210,416040135.13624054
3211,6020226.242172724
3212,63198758.00963402
3213,127353006.37911974
3214,11972507.666399991
3215,6377636.706691634
3216,16325919.123518797
3217,352115885.7372905
3218,19409741.87215441
3219,12635554.369892413
3220,243851540.1969099
3221,19208012.37256777
3222,18191774.678388096
3223,34117144.75868464
3224,10357586.163234206
3225,8966687.417147005
3226,10571478.026330017
3227,112795795.28666136
3228,104075020.2463933
3229,154168637.28635
3230,34469051.84335678
3231,50457487.289965145
3232,60045885.63587222
3233,7156673.9845523415
3234,7648187.2358857645
3235,22181096.087488532
3236,4946861.148716775
3237,38136089.8041866
3238,8568477.271620862
3239,2390640.8708265563
3240,301948638.0772818
3241,16657912.265012594
3242,18511550.322279584
3243,13559591.698426588
3244,4812078.394358774
3245,10241195.621575164
3246,49078175.27444358
3247,52286109.24399697
3248,56228060.229297034
3249,43574481.229967415
3250,426213947.747194
3251,5965880.777530253
3252,31049566.487051144
3253,61000392.63040121
3254,9317406.995984308
3255,1711268.2704730707
3256,59088743.53538087
3257,37862945.04298876
3258,39056427.20152546
3259,52391881.14614228
3260,4720737.817720993
3261,530073972.69739074
3262,26803662.093404733
3263,3799193.4245435875
3264,3942650.2239675843
3265,1175663.2995180225
3266,1788043.4329124836
3267,62105559.10545435
3268,1070423.3083440133
3269,56633888.43115756
3270,70077661.01873045
3271,11436420.167096723
3272,10847862.101647377
3273,27758901.743284408
3274,470692751.4652115
3275,25731357.88301674
3276,5313563.722023786
3277,13507120.426777942
3278,96130859.20940708
3279,117383600.08099739
3280,340283326.47117895
3281,1732234.693445159
3282,7450649.17301341
3283,331743591.3759324
3284,65079040.373751365
3285,54483579.5969383
3286,4611510.856505958
3287,14586498.222951138
3288,26488739.72000946
3289,100261500.44506429
3290,109963552.96045111
3291,37581042.797318436
3292,290278591.96364975
3293,89569819.1256149
3294,22123977.598834783
3295,13677563.424381299
3296,8960026.597342655
3297,11036632.092382923
3298,114647794.78467691
3299,15168943.45431946
3300,38709920.519418195
3301,1517415.3204833088
3302,11215853.835014971
3303,47540336.85794667
3304,14045753.188917808
3305,38861752.26961627
3306,3838425.4931167043
3307,82829595.98768166
3308,13823265.595736228
3309,16962992.101350717
3310,18143570.34128285
3311,23766557.015107684
3312,23475486.232532274
3313,69715243.31045218
3314,39970299.30450506
3315,178228281.8923234
3316,33766763.65980158
3317,5466419.738778494
3318,4070163.9063625564
3319,9076035.018153619
3320,30369205.412541796
3321,19347347.963816073
3322,14953314.410419496
3323,141274684.2302943
3324,5921662.411768944
3325,107628575.37479822
3326,224841673.4217491
3327,53854746.18464939
3328,14049607.815318344
3329,12146629.470419077
3330,135955781.772587
3331,10568532.839696266
3332,49953639.28701238
3333,258770717.40637103
3334,11879325.026077824
3335,50225564.56967132
3336,15502144.409676118
3337,1566518.8103093253
3338,18948719.88864418
3339,7087034.646959783
3340,119332104.70070028
3341,16244068.024663346
3342,57272458.993599266
3343,55345759.823459044
3344,2302559.003348069
3345,7579241.318141297
3346,40985095.018547595
3347,2275865.1350422176
